ablation_type,function,dimensions,run_id,final_fitness,total_evaluations,improvement_ratio,local_search_calls,plateau_escapes,basin_searches,final_exploration_scale,final_exploitation_scale,runtime_seconds
baseline,Ackley,30,8,1.996807741377893e-08,29375,1028510433.5466099,1,0,5,0.17,0.005,7.92138147354126
baseline,Ackley,30,9,1.833699458941851e-08,41030,1124504099.8982632,1,0,5,0.10960000000000002,0.00502,9.439289331436157
baseline,Ackley,30,10,1.9775744153349706e-08,10108,1040623304.8441815,1,0,5,0.17,0.005,4.47043514251709
no_local_search,Ackley,30,1,0.00416363904871675,4269,4874.280034692403,0,0,5,0.0572,0.00764,8.417118310928345
no_local_search,Ackley,30,2,0.015965249459729325,2205,1303.5113040936908,0,0,4,0.17,0.005,1.8801782131195068
no_local_search,Ackley,30,3,0.00577586621748738,4210,3574.756004556725,0,0,5,0.023,0.00935,8.354763507843018
no_local_search,Ackley,30,4,0.01584504618490401,2248,1306.2640442557704,0,0,4,0.17,0.005,1.9839541912078857
no_local_search,Ackley,30,5,0.006938453036803072,4485,2943.252255211836,0,0,5,0.158,0.005,8.475125074386597
no_local_search,Ackley,30,6,0.005536284145041481,4807,3664.230000721633,0,0,5,0.014199999999999999,0.00979,8.335529088973999
no_local_search,Ackley,30,7,0.006986683962271645,4074,2972.169526444407,0,0,5,0.06860000000000001,0.007070000000000001,8.312355995178223
no_local_search,Ackley,30,8,0.007379986622816137,3601,2782.84731498621,0,0,5,0.054000000000000006,0.0078000000000000005,8.381576538085938
no_local_search,Ackley,30,9,0.007047192747521525,3587,2925.991431533554,0,0,5,0.0362,0.00869,8.488442659378052
no_local_search,Ackley,30,10,0.00550167218335007,4169,3740.5173465062353,0,0,5,0.0103,0.009992964136463769,8.450813055038452
no_surrogate,Ackley,30,1,1.9797874006854954e-08,66753,1025097072.5340878,1,0,5,0.17,0.005,1.1290905475616455
no_surrogate,Ackley,30,2,1.8808176793783105e-08,74916,1106480621.2536101,1,0,5,0.17,0.005,1.3495779037475586
no_surrogate,Ackley,30,3,1.9788924721098056e-08,66180,1043377178.5723213,1,0,5,0.17,0.005,1.1316678524017334
no_surrogate,Ackley,30,4,1.979995589707073e-08,76662,1045346475.4421134,1,0,5,0.17,0.005,1.3378610610961914
no_surrogate,Ackley,30,5,1.7609071978341717e-08,124853,1159721396.6397338,1,0,5,0.17,0.005,2.486267328262329
no_surrogate,Ackley,30,6,1.897985812959746e-08,81743,1068828771.9677892,1,0,5,0.17,0.005,1.4695255756378174
no_surrogate,Ackley,30,7,1.949873906781363e-08,84999,1064971898.5080029,1,0,5,0.17,0.005,1.5200307369232178
no_surrogate,Ackley,30,8,1.979332653334609e-08,66991,1037590923.5538774,1,0,5,0.17,0.005,1.1798381805419922
no_surrogate,Ackley,30,9,1.7076388747483406e-08,129170,1207516758.9899366,1,0,5,0.17,0.005,2.4656803607940674
no_surrogate,Ackley,30,10,1.9321519051374025e-08,84985,1065087076.3263469,1,0,5,0.17,0.005,1.479321002960205
